label,Texas
"Count of Housing Unit: 1,000 - 1,249 USD",805152
"Count of Housing Unit: 1,500 - 1,999 USD",781204
"Count of Housing Unit: 1,250 - 1,499 USD",656067
Count of Housing Unit: 900 - 999 USD,303465
"Count of Housing Unit: 2,000 - 2,499 USD",289201
Count of Housing Unit: 800 - 899 USD,237829
Count of Housing Unit: 750 - 799 USD,98839
"Count of Housing Unit: 2,500 - 2,999 USD",88284
"Housing Units Valued at $2,000 or More",86513
Count of Housing Unit: 700 - 749 USD,77403
Count of Housing Unit: 650 - 699 USD,61567
Count of Housing Unit: 600 - 649 USD,47362
Count of Housing Unit: 550 - 599 USD,41404
"Count of Housing Unit: 3,500 USD or More",35473
"Count of Housing Unit: 3,000 - 3,499 USD",34038
