label,variable,data
Alabama,Vacant Housing Units,363770
Alaska,Vacant Housing Units,61812
Arizona,Vacant Housing Units,358632
Arkansas,Vacant Housing Units,200015
California,Vacant Housing Units,1108620
Colorado,Vacant Housing Units,222051
Connecticut,Vacant Housing Units,121525
Delaware,Vacant Housing Units,62556
District of Columbia,Vacant Housing Units,34587
Florida,Vacant Housing Units,1562516
Georgia,Vacant Housing Units,480290
Hawaii,Vacant Housing Units,76967
Idaho,Vacant Housing Units,83554
Illinois,Vacant Housing Units,458596
Indiana,Vacant Housing Units,278114
Iowa,Vacant Housing Units,126925
Kansas,Vacant Housing Units,129913
Kentucky,Vacant Housing Units,230100
Louisiana,Vacant Housing Units,315107
Maine,Vacant Housing Units,161631
Maryland,Vacant Housing Units,212951
Massachusetts,Vacant Housing Units,258319
Michigan,Vacant Housing Units,571194
Minnesota,Vacant Housing Units,237830
Mississippi,Vacant Housing Units,203723
Missouri,Vacant Housing Units,336706
Montana,Vacant Housing Units,73513
Nebraska,Vacant Housing Units,71644
Nevada,Vacant Housing Units,124686
New Hampshire,Vacant Housing Units,95219
New Jersey,Vacant Housing Units,318178
New Mexico,Vacant Housing Units,130297
New York,Vacant Housing Units,889929
North Carolina,Vacant Housing Units,634649
North Dakota,Vacant Housing Units,52338
Ohio,Vacant Housing Units,461801
Oklahoma,Vacant Housing Units,229091
Oregon,Vacant Housing Units,137799
Pennsylvania,Vacant Housing Units,560181
Puerto Rico,Vacant Housing Units,343471
Rhode Island,Vacant Housing Units,50834
South Carolina,Vacant Housing Units,339168
South Dakota,Vacant Housing Units,45441
Tennessee,Vacant Housing Units,337215
Texas,Vacant Housing Units,1164418
Utah,Vacant Housing Units,99835
Vermont,Vacant Housing Units,69280
Virginia,Vacant Housing Units,335509
Washington,Vacant Housing Units,236971
West Virginia,Vacant Housing Units,143102
Wisconsin,Vacant Housing Units,309023
Wyoming,Vacant Housing Units,39135
